"","Type","Degree","Betweenness","Closeness"
"2","Sample Seed 2",35,1158,0.000552486187845304
"3","Sample Seed 2",92,3486,7.38361575663603e-06
"4","Sample Seed 2",42,747,0.000437254044599913
"5","Sample Seed 2",1,0,2.14681648583316e-06
"6","Sample Seed 2",1,0,2.14681648583316e-06
"7","Sample Seed 2",1,0,2.14681648583316e-06
"8","Sample Seed 2",1,0,2.14681648583316e-06
"9","Sample Seed 2",2,3,2.14996431059244e-06
"10","Sample Seed 2",2,0,2.14681648583316e-06
"11","Sample Seed 2",1,0,2.14681648583316e-06
"12","Sample Seed 2",1,0,2.14681648583316e-06
"13","Sample Seed 2",1,0,2.14681648583316e-06
"14","Sample Seed 2",1,0,2.14681648583316e-06
"15","Sample Seed 2",1,0,2.14681648583316e-06
"16","Sample Seed 2",1,0,2.14681648583316e-06
"17","Sample Seed 2",1,0,2.14681648583316e-06
"18","Sample Seed 2",2,3,2.14996431059244e-06
"19","Sample Seed 2",1,0,2.14681648583316e-06
"20","Sample Seed 2",1,0,2.14681648583316e-06
"21","Sample Seed 2",1,0,2.14681648583316e-06
"22","Sample Seed 2",1,0,2.14681648583316e-06
"23","Sample Seed 2",1,0,2.14681648583316e-06
"24","Sample Seed 2",15,42,2.19174239136629e-06
"25","Sample Seed 2",1,0,2.14681648583316e-06
"26","Sample Seed 2",1,0,2.14681648583316e-06
"27","Sample Seed 2",1,0,2.14681648583316e-06
"28","Sample Seed 2",1,0,2.14681648583316e-06
"29","Sample Seed 2",1,0,2.14681648583316e-06
"30","Sample Seed 2",1,0,2.14681648583316e-06
"31","Sample Seed 2",1,0,2.14681648583316e-06
"32","Sample Seed 2",6,56,2.20485774257845e-06
"33","Sample Seed 2",12,62,2.20488691135032e-06
"34","Sample Seed 2",5,12,2.15946341653026e-06
"35","Sample Seed 2",12,33,2.18195782711912e-06
"36","Sample Seed 2",1,0,2.14681648583316e-06
"37","Sample Seed 2",79,568.5,7.36577712631571e-06
"38","Sample Seed 2",85,657,7.36631971300818e-06
"39","Sample Seed 2",63,553,2.36115243127866e-06
"40","Sample Seed 2",26,175.5,7.36089744061596e-06
"41","Sample Seed 2",45,255,7.36664530339529e-06
"42","Sample Seed 2",6,18,2.15312138006468e-06
"43","Sample Seed 2",3,18,2.15312138006468e-06
"44","Sample Seed 2",2,9,2.14996431059244e-06
"45","Sample Seed 2",4,27,2.15628773503536e-06
"46","Sample Seed 2",2,0,2.14681648583316e-06
"47","Sample Seed 2",1,0,2.14681648583316e-06
"48","Sample Seed 2",1,0,2.14681648583316e-06
"49","Sample Seed 2",2,0,2.14681648583316e-06
"50","Sample Seed 2",6,31,2.15946341653026e-06
"51","Sample Seed 2",3,0,2.14681648583316e-06
"52","Sample Seed 2",1,0,2.14681648583316e-06
"53","Sample Seed 2",1,0,2.14681648583316e-06
"54","Sample Seed 2",1,0,2.14681648583316e-06
"55","Sample Seed 2",1,0,2.14681648583316e-06
"56","Sample Seed 2",1,0,2.14681648583316e-06
"57","Sample Seed 2",1,0,2.14681648583316e-06
"58","Sample Seed 2",1,0,2.14681648583316e-06
"59","Sample Seed 2",1,0,2.14681648583316e-06
"60","Sample Seed 2",1,0,2.14681648583316e-06
"61","Sample Seed 2",9,48,7.35797273135306e-06
"62","Sample Seed 2",2,0,2.14681648583316e-06
"63","Sample Seed 2",2,0,2.14681648583316e-06
"64","Sample Seed 2",2,0,2.14681648583316e-06
"65","Sample Seed 2",1,0,2.14681648583316e-06
"66","Sample Seed 2",1,0,2.14681648583316e-06
"67","Sample Seed 2",2,0,2.14681648583316e-06
"68","Sample Seed 2",1,0,2.14681648583316e-06
"69","Sample Seed 2",1,0,2.14681648583316e-06
"70","Sample Seed 2",1,0,2.14681648583316e-06
"71","Sample Seed 2",1,0,2.14681648583316e-06
"72","Sample Seed 2",1,0,2.14681648583316e-06
"73","Sample Seed 2",1,0,2.14681648583316e-06
"74","Sample Seed 2",24,198,2.21826877431777e-06
"75","Sample Seed 2",1,0,2.14681648583316e-06
"76","Sample Seed 2",1,0,2.14681648583316e-06
"77","Sample Seed 2",1,0,2.14681648583316e-06
"78","Sample Seed 2",1,0,2.14681648583316e-06
"79","Sample Seed 2",1,0,2.14681648583316e-06
"80","Sample Seed 2",1,0,2.14681648583316e-06
"81","Sample Seed 2",1,0,2.14681648583316e-06
"82","Sample Seed 2",1,0,2.14681648583316e-06
"83","Sample Seed 2",3,0,2.14681648583316e-06
"84","Sample Seed 2",1,0,2.14681648583316e-06
"85","Sample Seed 2",9,72,2.17226023677637e-06
"86","Sample Seed 2",1,0,2.14681648583316e-06
"87","Sample Seed 2",14,117,2.18847113406574e-06
"88","Sample Seed 2",32,279,2.24888904880989e-06
"89","Sample Seed 2",2,0,2.14996431059244e-06
"90","Sample Seed 2",1,0,2.14681648583316e-06
"91","Sample Seed 2",11,90,2.17871569067466e-06
"92","Sample Seed 2",1,0,2.14681648583316e-06
"93","Sample Seed 2",2,0,2.14681648583316e-06
"94","Sample Seed 2",23,198,2.21826877431777e-06
"95","Sample Seed 2",1,0,2.14681648583316e-06
"96","Sample Seed 2",1,0,2.14681648583316e-06
"97","Sample Seed 2",1,0,2.14681648583316e-06
"98","Sample Seed 2",1,0,2.14681648583316e-06
"99","Sample Seed 2",1,0,2.14681648583316e-06
"100","Sample Seed 2",1,0,2.14681648583316e-06
"101","Sample Seed 2",1,0,2.14681648583316e-06
"102","Sample Seed 2",1,0,2.14681648583316e-06
"103","Sample Seed 2",1,0,2.14681648583316e-06
"104","Sample Seed 2",9,72,2.17226023677637e-06
"105","Sample Seed 2",1,0,2.14681648583316e-06
"106","Sample Seed 2",1,0,2.14681648583316e-06
"107","Sample Seed 2",1,0,2.14681648583316e-06
"108","Sample Seed 2",1,0,2.14681648583316e-06
"109","Sample Seed 2",1,0,2.14681648583316e-06
"110","Sample Seed 2",1,0,2.14681648583316e-06
"111","Sample Seed 2",1,0,2.14681648583316e-06
"112","Sample Seed 2",1,0,2.14681648583316e-06
"113","Sample Seed 2",1,0,2.14681648583316e-06
"114","Sample Seed 2",1,0,2.14681648583316e-06
"115","Sample Seed 2",1,0,2.14681648583316e-06
"116","Sample Seed 2",1,0,2.14681648583316e-06
"117","Sample Seed 2",1,0,2.14681648583316e-06
"118","Sample Seed 2",1,0,2.14681648583316e-06
"119","Sample Seed 2",1,0,2.14681648583316e-06
"120","Sample Seed 2",1,0,2.14681648583316e-06
"121","Sample Seed 2",1,0,2.14681648583316e-06
"122","Sample Seed 2",1,0,2.14681648583316e-06
"123","Sample Seed 2",15,39,2.18847113406574e-06
"124","Sample Seed 2",23,40,0.000343170899107756
"125","Sample Seed 2",2,0,2.14681648583316e-06
"126","Sample Seed 2",1,0,2.14681648583316e-06
"127","Sample Seed 2",1,0,2.14681648583316e-06
"128","Sample Seed 2",1,0,2.14681648583316e-06
"129","Sample Seed 2",1,0,2.14681648583316e-06
"130","Sample Seed 2",1,0,2.14681648583316e-06
"131","Sample Seed 2",10,27,2.17548317481313e-06
"132","Sample Seed 2",1,0,2.14681648583316e-06
"133","Sample Seed 2",13,36,2.18520962715953e-06
"134","Sample Seed 2",1,0,2.14681648583316e-06
"135","Sample Seed 2",8,21,2.16904683405924e-06
"136","Sample Seed 2",1,0,2.14681648583316e-06
"137","Sample Seed 2",1,0,2.14681648583316e-06
"138","Sample Seed 2",1,0,2.14681648583316e-06
"139","Sample Seed 2",1,0,2.14681648583316e-06
"140","Sample Seed 2",1,0,2.14681648583316e-06
"141","Sample Seed 2",1,0,2.14681648583316e-06
"142","Sample Seed 2",1,0,2.14681648583316e-06
"143","Sample Seed 2",1,0,2.14681648583316e-06
"144","Sample Seed 2",1,0,2.14681648583316e-06
"145","Sample Seed 2",1,0,2.14681648583316e-06
"146","Sample Seed 2",1,0,2.14681648583316e-06
"147","Sample Seed 2",1,0,2.14681648583316e-06
"148","Sample Seed 2",1,0,2.14681648583316e-06
"149","Sample Seed 2",1,0,2.14681648583316e-06
"150","Sample Seed 2",1,0,2.14681648583316e-06
"151","Sample Seed 2",1,0,2.14681648583316e-06
"152","Sample Seed 2",1,0,2.14681648583316e-06
"153","Sample Seed 2",1,0,2.14681648583316e-06
"154","Sample Seed 2",1,0,2.14681648583316e-06
"155","Sample Seed 2",1,0,2.14681648583316e-06
"156","Sample Seed 2",1,0,2.14681648583316e-06
"157","Sample Seed 2",1,0,2.14681648583316e-06
"158","Sample Seed 2",1,0,2.14681648583316e-06
"159","Sample Seed 2",1,0,2.14681648583316e-06
"160","Sample Seed 2",1,0,2.14681648583316e-06
"161","Sample Seed 2",1,0,2.14681648583316e-06
"162","Sample Seed 2",1,0,2.14681648583316e-06
"163","Sample Seed 2",1,0,2.14681648583316e-06
"164","Sample Seed 2",1,0,2.14681648583316e-06
"165","Sample Seed 2",1,0,2.14681648583316e-06
"166","Sample Seed 2",1,0,2.14681648583316e-06
"167","Sample Seed 2",1,0,2.14681648583316e-06
"168","Sample Seed 2",1,0,2.14681648583316e-06
"169","Sample Seed 2",1,0,2.14681648583316e-06
"170","Sample Seed 2",1,0,2.14681648583316e-06
"171","Sample Seed 2",1,0,2.14681648583316e-06
"172","Sample Seed 2",1,0,2.14681648583316e-06
"173","Sample Seed 2",1,0,2.14681648583316e-06
"174","Sample Seed 2",1,0,2.14681648583316e-06
"175","Sample Seed 2",1,0,2.14681648583316e-06
"176","Sample Seed 2",17,56,2.20491608089396e-06
"177","Sample Seed 2",1,0,2.14681648583316e-06
"178","Sample Seed 2",2,0,2.14681648583316e-06
"179","Sample Seed 2",1,0,2.14681648583316e-06
"180","Sample Seed 2",11,32,2.20488691135032e-06
"181","Sample Seed 2",1,0,2.14681648583316e-06
"182","Sample Seed 2",1,0,2.14681648583316e-06
"183","Sample Seed 2",1,0,2.14681648583316e-06
"184","Sample Seed 2",1,0,2.14681648583316e-06
"185","Sample Seed 2",1,0,2.14681648583316e-06
"186","Sample Seed 2",1,0,2.14681648583316e-06
"187","Sample Seed 2",1,0,2.14681648583316e-06
"188","Sample Seed 2",2,0,2.14681648583316e-06
"189","Sample Seed 2",1,0,2.14681648583316e-06
"190","Sample Seed 2",1,0,2.14681648583316e-06
"191","Sample Seed 2",1,0,2.14681648583316e-06
"192","Sample Seed 2",1,0,2.14681648583316e-06
"193","Sample Seed 2",1,0,2.14681648583316e-06
"194","Sample Seed 2",1,0,2.14681648583316e-06
"195","Sample Seed 2",1,0,2.14681648583316e-06
"196","Sample Seed 2",1,0,2.14681648583316e-06
"197","Sample Seed 2",1,0,2.14681648583316e-06
"198","Sample Seed 2",1,0,2.14681648583316e-06
"199","Sample Seed 2",1,0,2.14681648583316e-06
